url;title
https://neoxscan.net/manga/oo-065_32_1-mecodepois-do-fim_1/cap-175-4/;O Começo Depois do Fim - Cap. 175.4 - Leia comics em português!
https://neoxscan.net/manga/o2-065_32_1-rnodoheroi-da-classe-desastre/cap-74/;O Retorno do Herói da Classe Desastre - Cap. 74 - Leia comics em português!
https://neoxscan.net/manga/oi-065_32_1-xodafamilia-condal/cap-108/;O Lixo da Familia Condal - Cap. 108 - Leia comics em português!
https://neoxscan.net/manga/ae-065_32_1-encarnacao-do-deus-da-guerra/cap-97/;A reencarnação do deus da guerra - Cap. 97 - Leia comics em português!
https://neoxscan.net/manga/ou-065_32_1-nicocromante/cap-107/;O Único Necromante - Cap. 107 - Leia comics em português!
https://neoxscan.net/manga/ou-065_32_1-ndoapos-a-queda/cap-99/;O Mundo após a Queda - Cap. 99 - Leia comics em português!
https://neoxscan.net/manga/nec-41_4572_1-romante-sem-limites/cap-58/;Necromante Sem Limites - Cap. 58 - Leia comics em português!
https://mangaschan.net/22552710/black-clover-capitulo-369/;Black Clover Capítulo 369 - Mangás Chan
https://mangaschan.net/05145922/tondemo-skill-de-isekai-hourou-meshi-capitulo-59-2/;Tondemo Skill de Isekai Hourou Meshi Capítulo 59.2 - Mangás Chan
https://mangaschan.net/08581620/i-got-the-weakest-class-dragon-tamer-capitulo-3/;I Got The Weakest Class, Dragon Tamer!? Capítulo 3 - Mangás Chan
https://mangaschan.net/11565312/tensei-shitara-slime-datta-ken-capitulo-116/;Tensei Shitara Slime Datta Ken Capítulo 116 - Mangás Chan
https://mangaschan.net/20052200/jujutsu-kaisen-capitulo-257/;Jujutsu KaisenCapítulo 257 - Mangás Chan
https://mangaschan.net/21434521/limit-breaker-capitulo-124/;Limit Breaker Capítulo 124 - Mangás Chan
https://mangaschan.net/22410701/kaijuu-8-gou-capitulo-105/;Kaijuu 8-gou Capítulo 105 - Mangás Chan
https://mangaschan.net/24481716/ao-ashi-capitulo-368/;Ao Ashi Capítulo 368 - Mangás Chan
https://mangaschan.net/23284421/eleceed-capitulo-294/;Eleceed Capítulo 294 - Mangás Chan
https://mangaschan.net/23334620/blue-lock-capitulo-259/;Blue Lock Capítulo 259 - Mangás Chan
https://mangaschan.net/27485709/record-of-ragnarok-capitulo-89-5/;Record of Ragnarok Capítulo 89.5 - Mangás Chan
https://mangaschan.net/manga/god-slaying-copycat/;God-Slaying Copycat - Mangás Chan
